timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1685605611902,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1685605612903,79674,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1685605612903,385,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1685605612903,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1685605613903,79673,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1685605613903,782,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1685605613903,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1685605614904,79673,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1685605614904,586,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1685605614904,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1685605615904,79670,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1685605615904,1174,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1685605615904,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1685605616904,79670,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1685605616904,1384,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1685605616904,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1685605617905,79669,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1685605617905,1362,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1685605617905,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1685605618905,79670,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1685605618905,1553,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1685605618905,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1685605619905,79670,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1685605619905,1364,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1685605619905,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1685605620906,79703,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1685605620906,2550,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1685605620906,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1685605621906,79725,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1685605621906,1750,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1685605621906,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1685605622907,79721,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1685605622907,1559,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1685605622907,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1685605623908,79721,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1685605623908,1942,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1685605623908,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1685605624909,79722,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1685605624909,778,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1685605624909,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1685605625909,79720,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1685605625909,1170,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1685605625909,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1685605626909,79718,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1685605626909,971,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1685605626909,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1685605627909,79722,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1685605627909,792,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1685605627909,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1685605628910,79722,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1685605628910,1170,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1685605628910,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1685605629911,79995,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1685605629911,11401,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1685605629911,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1685605630912,79975,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1685605630912,9892,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1685605630912,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1685605631912,80077,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1685605631912,1170,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1685605631912,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1685605632912,79366,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1685605632912,1950,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1685605632912,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1685605633912,79374,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1685605633912,3150,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1685605633912,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1685605634912,79373,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1685605634912,1739,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1685605634912,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1685605635913,79371,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
